Color,Modelo,Articulo,SKU,Descripcion Operam,Estado,Cantidad,Precio lista (sin IVA),Precio M6000 (sin IVA),Importe M6000,Precio estimado de,Inactivo
Blanco filete azul,PL24,Plato 24,PL24B11112,Plato 24 blanco filete azul,EXISTE,1,172.41,68.97,68.97,,
Blanco filete azul,PL27,Plato 27,PL27B1001112,Plato 27 blanco filete azul,EXISTE,1,228.45,91.38,91.38,,
Blanco filete negro,VA05,Taza 5,VA05B11111,Taza 5 blanco filete negro,EXISTE,1,68.97,27.59,27.59,,
Blanco filete negro,SA08,Salsera 8,SA08B1001111,Salsera 8 blanco filete negro,EXISTE,1,77.59,31.03,31.03,,
Blanco filete negro,VA08,Taza 8,VA08B11111,Taza 8 blanco filete negro,EXISTE,1,86.21,34.48,34.48,,
Blanco filete negro,TA14,Tazon 14,TA14B11111,Tazon 14 blanco filete negro,EXISTE,1,107.76,43.10,43.10,,
Blanco filete negro,PH20,Plato 20 hondo,PH20B1001111,Plato 20 hondo blanco filete negro,EXISTE,1,172.41,68.97,68.97,,
Blanco filete negro,PL14,Plato 14,PL14B1001111,Plato 14 blanco filete negro,EXISTE,1,86.21,34.48,34.48,,
Blanco filete negro,PL24,Plato 24,PL24B11111,Plato 24 blanco filete negro,EXISTE,1,172.41,68.97,68.97,,
Blanco filete negro,PL27,Plato 27,PL27B1001111,Plato 27 blanco filete negro,EXISTE,1,228.45,91.38,91.38,,
Blanco s/filetes,VA05,Taza 5,VA05B11121,Taza 5 blanco s/filetes,EXISTE,1,68.97,27.59,27.59,,
Blanco s/filetes,SA08,Salsera 8,SA08B1001120,Salsera 8 blanco s/filetes,EXISTE,1,77.59,31.03,31.03,,
Blanco s/filetes,VA08,Taza 8,VA08B11121,Taza 8 blanco s/filetes,EXISTE,1,86.21,34.48,34.48,,
Blanco s/filetes,TA14,Tazon 14,TA14B11121,Tazon 14 blanco s/filetes,EXISTE,1,107.76,43.10,43.10,,
Blanco s/filetes,PH20,Plato 20 hondo,PH20B1001120,Plato 20 hondo blanco s/filetes,EXISTE,1,172.41,68.97,68.97,,
Blanco s/filetes,PL14,Plato 14,PL14B1001120,Plato 14 blanco s/filetes,EXISTE,1,86.21,34.48,34.48,,
Blanco s/filetes,PL24,Plato 24,PL24B11121,Plato 24 blanco s/filetes,EXISTE,1,172.41,68.97,68.97,,
Blanco s/filetes,PL27,Plato 27,PL27B1001120,Plato 27 blanco s/filetes,EXISTE,1,228.45,91.38,91.38,,
Blanco salpicado de azul,VA05,Taza 5,VA05B17021,Taza 5 blanco salpicado azul s/filetes,EXISTE,1,99.14,39.66,39.66,,
Blanco salpicado de azul,SA08,Salsera 8,SA08B1A37020,Salsera 8 blanco salpicado azul s/filetes,EXISTE,1,107.76,43.10,43.10,,
Blanco salpicado de azul,VA08,Taza 8,VA08B17021,Taza 8 blanco salpicado azul s/filetes,EXISTE,1,116.38,46.55,46.55,,
Blanco salpicado de azul,TA14,Tazon 14,TA14B17021,Tazon 14 blanco salpicado azul s/filetes,EXISTE,1,163.79,65.52,65.52,,
Blanco salpicado de azul,PH20,Plato 20 hondo,PH20B1A37120,Plato 20 hondo blanco salpicado azul s/filetes,EXISTE,1,254.31,101.72,101.72,,
Blanco salpicado de azul,PL14,Plato 14,PL14B1A37120,Plato 14 blanco salpicado azul s/filetes,EXISTE,1,116.38,46.55,46.55,,
Blanco salpicado de azul,PL24,Plato 24,PL24B17021,Plato 24 blanco salpicado azul s/filetes,EXISTE,1,254.31,101.72,101.72,,
Blanco salpicado de azul,PL27,Plato 27,PL27B1A37120,Plato 27 blanco salpicado azul s/filetes,EXISTE,1,331.90,132.76,132.76,,
Blanco salpicado de rosa,VA05,Taza 5,VA05B17023,Taza 5 blanco salpicado rosa s/filetes,EXISTE,1,99.14,39.66,39.66,,
Blanco salpicado de rosa,SA08,Salsera 8,SA08B17020,Salsera 8 blanco salpicado rosa s/filetes,EXISTE,1,107.76,43.10,43.10,,
Blanco salpicado de rosa,VA08,Taza 8,VA08B17023,Taza 8 blanco salpicado rosa s/filetes,EXISTE,1,116.38,46.55,46.55,,
Blanco salpicado de rosa,TA14,Tazon 14,TA14B17023,Tazon 14 blanco salpicado rosa s/filetes,EXISTE,1,163.79,65.52,65.52,,
Blanco salpicado de rosa,PH20,Plato 20 hondo,PH20B1P37120,Plato 20 hondo blanco salpicado rosa s/filetes,EXISTE,1,254.31,101.72,101.72,,
