Color,Modelo,Articulo,SKU,Descripcion Operam,Estado,Cantidad,Precio lista (sin IVA),Precio M6000 (sin IVA),Importe M6000,Precio estimado de,Inactivo
Negro,PL27,Plato 27,PL27N1001111,Plato 27 negro filete negro,EXISTE,1,228.45,91.38,91.38,,
Negro con manchas blancas,VA05,Taza 5,VA05N1B12111,Taza 5 negro con manchas blancas filete negro,EXISTE,1,99.14,39.66,39.66,,
Negro con manchas blancas,SA08,Salsera 8,SA08N1B12111,Salsera 8 negro con manchas blancas filete negro,EXISTE,1,107.76,43.10,43.10,,
Negro con manchas blancas,VA08,Taza 8,VA08N1B12111,Taza 8 negro con manchas blancas filete negro,EXISTE,1,116.38,46.55,46.55,,
Negro con manchas blancas,TA14,Tazon 14,TA14N1B12111,Tazon 14 negro con manchas blancas filete negro,EXISTE,1,163.79,65.52,65.52,,
Negro con manchas blancas,PH20,Plato 20 hondo,PH20N1B12111,Plato 20 hondo negro con manchas blancas filete negro,EXISTE,1,254.31,101.72,101.72,,
Negro con manchas blancas,PL14,Plato 14,PL14N1B12111,Plato 14 negro con manchas blancas filete negro,EXISTE,1,116.38,46.55,46.55,,
Negro con manchas blancas,PL24,Plato 24,PL24N1B12111,Plato 24 negro con manchas blancas filete negro,EXISTE,1,254.31,101.72,101.72,,
Negro con manchas blancas,PL27,Plato 27,PL27N1B12111,Plato 27 negro con manchas blancas filete negro,EXISTE,1,331.90,132.76,132.76,,
Negro salpicado de blanco,VA05,Taza 5,VA05N1B17111,Taza 5 negro salpicado blanco filete negro,EXISTE,1,99.14,39.66,39.66,,
Negro salpicado de blanco,SA08,Salsera 8,SA08N1B17111,Salsera 8 negro salpicado blanco filete negro,EXISTE,1,107.76,43.10,43.10,,
Negro salpicado de blanco,VA08,Taza 8,VA08N1B17111,Taza 8 negro salpicado blanco filete negro,EXISTE,1,116.38,46.55,46.55,,
Negro salpicado de blanco,TA14,Tazon 14,TA14N1B17111,Tazon 14 negro salpicado blanco filete negro,EXISTE,1,163.79,65.52,65.52,,
Negro salpicado de blanco,PH20,Plato 20 hondo,PH20N1B17111,Plato 20 hondo negro salpicado blanco filete negro,EXISTE,1,254.31,101.72,101.72,,
Negro salpicado de blanco,PL14,Plato 14,PL14N1B17111,Plato 14 negro salpicado blanco filete negro,EXISTE,1,116.38,46.55,46.55,,
Negro salpicado de blanco,PL24,Plato 24,PL24N1B17111,Plato 24 negro salpicado blanco filete negro,EXISTE,1,254.31,101.72,101.72,,
Negro salpicado de blanco,PL27,Plato 27,PL27N1B17111,Plato 27 negro salpicado blanco filete negro,EXISTE,1,331.90,132.76,132.76,,
Nopal filete negro,VA05,Taza 5,VA05V4001111,Taza 5 nopal filete negro,EXISTE,1,68.97,27.59,27.59,,
Nopal filete negro,SA08,Salsera 8,SA08V4001111,Salsera 8 nopal filete negro,EXISTE,1,77.59,31.03,31.03,,
Nopal filete negro,VA08,Taza 8,VA08V4001111,Taza 8 nopal filete negro,EXISTE,1,86.21,34.48,34.48,,
Nopal filete negro,TA14,Tazon 14,TA14V4001111,Tazon 14 nopal filete negro,EXISTE,1,107.76,43.10,43.10,,
Nopal filete negro,PH20,Plato 20 hondo,PH20V4001111,Plato 20 hondo nopal filete negro,EXISTE,1,172.41,68.97,68.97,,
Nopal filete negro,PL14,Plato 14,PL14V4001111,Plato 14 nopal filete negro,EXISTE,1,86.21,34.48,34.48,,
Nopal filete negro,PL24,Plato 24,PL24V4001111,Plato 24 nopal filete negro,EXISTE,1,172.41,68.97,68.97,,
Nopal filete negro,PL27,Plato 27,PL27V4001111,Plato 27 nopal filete negro,EXISTE,1,228.45,91.38,91.38,,
Prusia filete negro,VA05,Taza 5,VA05V21111,Taza 5 prusia filete negro,EXISTE,1,68.97,27.59,27.59,,
Prusia filete negro,SA08,Salsera 8,SA08V2001111,Salsera 8 prusia filete negro,EXISTE,1,77.59,31.03,31.03,,
Prusia filete negro,VA08,Taza 8,VA08V21111,Taza 8 prusia filete negro,EXISTE,1,86.21,34.48,34.48,,
Prusia filete negro,TA14,Tazon 14,TA14V21111,Tazon 14 prusia filete negro,EXISTE,1,107.76,43.10,43.10,,
Prusia filete negro,PH20,Plato 20 hondo,PH20V2001111,Plato 20 hondo prusia filete negro,EXISTE,1,172.41,68.97,68.97,,
Prusia filete negro,PL14,Plato 14,PL14V2001111,Plato 14 prusia filete negro,EXISTE,1,86.21,34.48,34.48,,
Prusia filete negro,PL24,Plato 24,PL24V21111,Plato 24 prusia filete negro,EXISTE,1,172.41,68.97,68.97,,
Prusia filete negro,PL27,Plato 27,PL27V2001111,Plato 27 prusia filete negro,EXISTE,1,228.45,91.38,91.38,,
Rosa filete negro,VA05,Taza 5,VA05P31111,Taza 5 rosa filete negro,EXISTE,1,68.97,27.59,27.59,,
Rosa filete negro,SA08,Salsera 8,SA08P3001111,Salsera 8 rosa filete negro,EXISTE,1,77.59,31.03,31.03,,
Rosa filete negro,VA08,Taza 8,VA08P31111,Taza 8 rosa filete negro,EXISTE,1,86.21,34.48,34.48,,
Rosa filete negro,TA14,Tazon 14,TA14P31111,Tazon 14 rosa filete negro,EXISTE,1,107.76,43.10,43.10,,
Rosa filete negro,PH20,Plato 20 hondo,PH20P3001111,Plato 20 hondo rosa filete negro,EXISTE,1,172.41,68.97,68.97,,
Rosa filete negro,PL14,Plato 14,PL14P3001111,Plato 14 rosa filete negro,EXISTE,1,86.21,34.48,34.48,,
Rosa filete negro,PL24,Plato 24,PL24P31111,Plato 24 rosa filete negro,EXISTE,1,172.41,68.97,68.97,,
Rosa filete negro,PL27,Plato 27,PL27P3001111,Plato 27 rosa filete negro,EXISTE,1,228.45,91.38,91.38,,
Rosa filete nopal,VA05,Taza 5,VA05P3001116,Taza 5 rosa filete nopal,EXISTE,1,68.97,27.59,27.59,,
Rosa filete nopal,SA08,Salsera 8,SA08P3001116,Salsera 8 rosa filete nopal,EXISTE,1,77.59,31.03,31.03,,
Rosa filete nopal,VA08,Taza 8,VA08P3001116,Taza 8 rosa filete nopal,EXISTE,1,86.21,34.48,34.48,,
Rosa filete nopal,TA14,Tazon 14,TA14P3001116,Tazon 14 rosa filete nopal,EXISTE,1,107.76,43.10,43.10,,
Rosa filete nopal,PH20,Plato 20 hondo,PH20P3001116,Plato 20 hondo rosa filete nopal,EXISTE,1,172.41,68.97,68.97,,
Rosa filete nopal,PL14,Plato 14,PL14P3001116,Plato 14 rosa filete nopal,EXISTE,1,86.21,34.48,34.48,,
Rosa filete nopal,PL24,Plato 24,PL24P3001116,Plato 24 rosa filete nopal,EXISTE,1,172.41,68.97,68.97,,
Rosa filete nopal,PL27,Plato 27,PL27P3001116,Plato 27 rosa filete nopal,EXISTE,1,228.45,91.38,91.38,,
Verde bosque,VA05,Taza 5,VA05V11113,Taza 5 verde filete verde,EXISTE,1,68.97,27.59,27.59,,
Verde bosque,SA08,Salsera 8,SA08V11113,Salsera 8 verde filete verde,EXISTE,1,77.59,31.03,31.03,,
Verde bosque,VA08,Taza 8,VA08V11113,Taza 8 verde filete verde,EXISTE,1,86.21,34.48,34.48,,
Verde bosque,TA14,Tazon 14,TA14V11113,Tazon 14 verde filete verde,EXISTE,1,107.76,43.10,43.10,,
Verde bosque,PH20,Plato 20 hondo,PH20V1001113,Plato 20 hondo verde filete verde,EXISTE,1,172.41,68.97,68.97,,
Verde bosque,PL14,Plato 14,PL14V1001113,Plato 14 verde filete verde,EXISTE,1,86.21,34.48,34.48,,
Verde bosque,PL24,Plato 24,PL24V11113,Plato 24 verde filete verde,EXISTE,1,172.41,68.97,68.97,,
Verde bosque,PL27,Plato 27,PL27V1001113,Plato 27 verde filete verde,EXISTE,1,228.45,91.38,91.38,,
Verde con manchas rosas,VA05,Taza 5,VA05V1N1M1,Taza 5 verde con manchas rosas filete negro,EXISTE,1,99.14,39.66,39.66,,
Verde con manchas rosas,SA08,Salsera 8,SA08V1P32111,Salsera 8 verde con manchas rosas filete negro,EXISTE,1,107.76,43.10,43.10,,
Verde con manchas rosas,VA08,Taza 8,VA08V1N1M1,Taza 8 verde con manchas rosas filete negro,EXISTE,1,116.38,46.55,46.55,,
Verde con manchas rosas,TA14,Tazon 14,TA14V1N1M1,Tazon 14 verde con manchas rosas filete negro,EXISTE,1,163.79,65.52,65.52,,
Verde con manchas rosas,PH20,Plato 20 hondo,PH20V1P32111,Plato 20 hondo verde con manchas rosas filete negro,EXISTE,1,254.31,101.72,101.72,,
Verde con manchas rosas,PL14,Plato 14,PL14V1P32111,Plato 14 verde con manchas rosas filete negro,EXISTE,1,116.38,46.55,46.55,,
Verde con manchas rosas,PL24,Plato 24,PL24V1N1M1,Plato 24 verde con manchas rosas filete negro,EXISTE,1,254.31,101.72,101.72,,
Verde con manchas rosas,PL27,Plato 27,PL27V1P32111,Plato 27 verde con manchas rosas filete negro,EXISTE,1,331.90,132.76,132.76,,
Verde pastel filete negro,VA05,Taza 5,VA05V5001111,Taza 5 verde pastel filete negro,EXISTE,1,68.97,27.59,27.59,,
Verde pastel filete negro,SA08,Salsera 8,SA08V5001111,Salsera 8 verde pastel filete negro,EXISTE,1,77.59,31.03,31.03,,
Verde pastel filete negro,VA08,Taza 8,VA08V5001111,Taza 8 verde pastel filete negro,EXISTE,1,86.21,34.48,34.48,,
Verde pastel filete negro,TA14,Tazon 14,TA14V5001111,Tazon 14 verde pastel filete negro,EXISTE,1,107.76,43.10,43.10,,
Verde pastel filete negro,PH20,Plato 20 hondo,PH20V5001111,Plato 20 hondo verde pastel filete negro,EXISTE,1,172.41,68.97,68.97,,
Verde pastel filete negro,PL14,Plato 14,PL14V5001111,Plato 14 verde pastel filete negro,EXISTE,1,86.21,34.48,34.48,,
Verde pastel filete negro,PL24,Plato 24,PL24V5001111,Plato 24 verde pastel filete negro,EXISTE,1,172.41,68.97,68.97,,
Verde pastel filete negro,PL27,Plato 27,PL27V5001111,Plato 27 verde pastel filete negro,EXISTE,1,228.45,91.38,91.38,,
